area,bedrooms,age,price
1302,2,24,465900
3649,6,17,2107050
2073,4,8,1292850
1223,4,17,775350
2938,4,24,1442100
4539,2,6,2192550
2804,4,22,1411800
1456,1,21,460200
2804,1,15,1156800
3858,1,2,1826100
4378,3,24,1970100
4859,5,12,2606550
1057,6,12,1015650
2452,1,24,863400
4169,3,17,1981050
2681,2,5,1371450
1783,6,22,1192350
4759,4,25,2246550
4595,6,7,2682750
3988,2,10,1884600
3000,5,9,1815000
1787,5,20,1104150
2500,6,24,1485000
4756,1,7,2155200
2781,5,2,1821450
3503,1,24,1336350
1380,1,18,471000
3537,6,16,2071650
1606,6,14,1232700
2065,2,12,989250
4320,1,25,1689000
3923,3,21,1810350
1505,1,22,467250
704,6,21,721800
3913,4,25,1865850
1509,2,19,634050
2824,4,24,1390800
4299,5,21,2219550
840,3,4,678000
4665,5,8,2579250
2419,6,11,1643550
3884,3,1,2092800
4562,4,17,2277900
884,6,8,997800
2163,4,20,1153350
1145,5,3,1070250
4549,5,16,2407050
4935,6,16,2700750
2950,3,23,1342500
901,5,3,960450
2071,1,2,1021950
4977,6,20,2659650
1012,4,8,815400
3378,6,14,2030100
2218,5,1,1583100
1307,4,3,1023150
3323,3,16,1615350
3841,4,17,1953450
3991,5,24,2035950
2091,3,15,1075950
2840,4,6,1668000
3605,5,25,1847250
4410,3,12,2164500
2319,6,4,1703550
4088,6,4,2499600
926,5,16,776700
4007,4,8,2163150
2342,1,4,1113900
2348,5,5,1581600
2782,4,2,1701900
3675,1,9,1638750
3117,2,23,1297650
928,3,22,447600
3569,4,4,2026050
2154,2,20,909300
4569,2,3,2251050
3941,1,21,1578450
1594,4,13,1002300
2163,3,9,1198350
875,3,22,423750
3765,2,4,1874250
1657,3,16,865650
3419,2,4,1718550
996,1,10,418200
2999,2,2,1559550
2915,3,21,1356750
802,2,15,375900
4195,1,13,1812750
1580,1,20,531000
2707,4,14,1488150
1655,3,17,849750
2382,5,4,1611900
3086,2,8,1508700
2312,4,6,1430400
1641,1,18,588450
1193,5,7,1031850
4954,1,8,2229300
3508,3,10,1788600
1711,4,18,979950
924,4,15,670800
3754,6,20,2109300
4914,3,13,2376300
2233,1,11,959850
2464,5,3,1663800
2087,4,25,1044150
3344,3,20,1564800
774,2,6,498300
4796,2,10,2248200
4666,1,5,2144700
809,1,6,394050
1626,2,5,896700
1188,2,12,594600
4546,3,9,2270700
2177,1,24,739650
1084,2,12,547800
3292,5,20,1781400
2207,6,24,1353150
3452,6,24,1913400
3438,3,9,1772100
4874,5,20,2493300
2084,2,18,907800
1969,4,11,1201050
4057,4,11,2140650
3422,1,2,1629900
2777,4,9,1594650
2585,6,14,1673250
2668,6,21,1605600
4691,6,14,2620950
1056,3,12,655200
1802,4,17,1035900
1558,3,16,821100
888,4,9,744600
4452,3,8,2243400
1288,5,24,819600
3358,2,9,1616100
761,4,11,657450
4415,2,11,2061750
802,2,6,510900
4744,4,18,2344800
3776,2,12,1759200
1611,2,4,904950
4912,3,24,2210400
3531,5,11,2023950
1734,3,22,810300
876,2,10,484200
1616,3,13,892200
3292,2,20,1421400
2033,5,19,1229850
1546,6,17,1160700
2660,6,13,1722000
4609,6,20,2494050
3445,3,19,1625250
3073,5,21,1667850
2965,4,24,1454250
1069,5,6,991050
2216,5,9,1462200
3479,2,2,1775550
3376,4,16,1759200
